cliente_nome=Felipe;cliente_endereco=aasdfas;cliente_telefone=987987987;cliente_email=felipedomingos2011@hotmail.com;hamburguer_nome=furioso;hamburguer_preco=0;shake_nome=biscoito;shake_preco=0;data_pedido=14/11/2019 14:42:47;preco_total=0
cliente_nome=;cliente_endereco=aasdfas;cliente_telefone=987987987;cliente_email=felipedomingos2011@hotmail.com;hamburguer_nome=Black Burguer;hamburguer_preco=0;shake_nome=Morango;shake_preco=0;data_pedido=18/11/2019 13:50:03;preco_total=0
cliente_nome=;cliente_endereco=aasdfas;cliente_telefone=987987987;cliente_email=felipedomingos2011@hotmail.com;hamburguer_nome=Furioso;hamburguer_preco=0;shake_nome=Biscoito;shake_preco=0;data_pedido=18/11/2019 13:50:52;preco_total=0
cliente_nome=Felipe;cliente_endereco=aasdfas;cliente_telefone=987987987;cliente_email=felipedomingos2011@hotmail.com;hamburguer_nome=Happyburguer;hamburguer_preco=0;shake_nome=Chocolate;shake_preco=0;data_pedido=18/11/2019 13:56:27;preco_total=0
cliente_nome=Felipe;cliente_endereco=aasdfas;cliente_telefone=987987987;cliente_email=felipedomingos2011@hotmail.com;hamburguer_nome=Furioso;hamburguer_preco=9,99;shake_nome=Biscoito;shake_preco=0;data_pedido=18/11/2019 16:11:49;preco_total=0
cliente_nome=Felipe;cliente_endereco=aasdfas;cliente_telefone=987987987;cliente_email=felipedomingos2011@hotmail.com;hamburguer_nome=Furioso;hamburguer_preco=9,99;shake_nome=Biscoito;shake_preco=0;data_pedido=18/11/2019 16:13:20;preco_total=0
cliente_nome=Felipe;cliente_endereco=aasdfas;cliente_telefone=987987987;cliente_email=felipedomingos2011@hotmail.com;hamburguer_nome=Furioso;hamburguer_preco=9,99;shake_nome=Biscoito;shake_preco=0;data_pedido=18/11/2019 16:13:25;preco_total=0
cliente_nome=asvcjabspidhna;cliente_endereco=684613515;cliente_telefone=987987987;cliente_email=felipedomingos2011@hotmail.com;hamburguer_nome=Combo da Hora;hamburguer_preco=19,99;shake_nome=Morango;shake_preco=0;data_pedido=18/11/2019 16:13:47;preco_total=0
cliente_nome=Felipe;cliente_endereco=aasdfas;cliente_telefone=987987987;cliente_email=felipedomingos2011@hotmail.com;hamburguer_nome=Happyburguer;hamburguer_preco=1,99;shake_nome=Chocolate;shake_preco=0;data_pedido=18/11/2019 16:17:20;preco_total=0
cliente_nome=Vitchones;cliente_endereco=ibiuna;cliente_telefone=9897949596;cliente_email=vitchone@email.com;hamburguer_nome=Combo da Hora;hamburguer_preco=19,99;shake_nome=Biscoito;shake_preco=9,99;data_pedido=18/11/2019 16:19:50;preco_total=0
cliente_nome=Guilherme;cliente_endereco=jardins;cliente_telefone=959595959;cliente_email=guilherme@email.com;hamburguer_nome=Vegeburguer;hamburguer_preco=10,99;shake_nome=Morango;shake_preco=19,99;data_pedido=18/11/2019 16:23:23;preco_total=30,98
